Energy [keV],Absolute Efficiency [%]
100,0.0680411;0.0707;0.0733589
150,0.104911;0.1082;0.111489
200,0.106585;0.1099;0.113215
250,0.181885;0.1862;0.190515
300,0.300072;0.3056;0.311128
350,0.245495;0.2505;0.255505
400,0.30473;0.3103;0.31587
450,0.458479;0.4653;0.472121
500,0.669468;0.6777;0.685932
550,0.710719;0.7192;0.727681
600,0.727421;0.736;0.744579
650,0.88922;0.8987;0.90818
700,0.948312;0.9581;0.967888
750,0.951694;0.9615;0.971306
800,0.933488;0.9432;0.952912
850,0.886037;0.8955;0.904963
900,0.861468;0.8708;0.880132
950,0.792846;0.8018;0.810754
1000,0.765699;0.7745;0.783301
1050,0.70058;0.709;0.71742
1100,0.646807;0.6549;0.662993
1150,0.573477;0.5811;0.588723
1200,0.498887;0.506;0.513113
1250,0.433367;0.44;0.446633
1300,0.383259;0.3895;0.395741
1350,0.349934;0.3559;0.361866
1400,0.334268;0.3401;0.345932
1450,0.303739;0.3093;0.314861
1500,0.261536;0.2667;0.271864
1550,0.245;0.25;0.255
1600,0.215705;0.2204;0.225095
1650,0.192364;0.1968;0.201236
1700,0.164494;0.1686;0.172706
1750,0.149977;0.1539;0.157823
1800,0.131819;0.1355;0.139181
1850,0.120972;0.1245;0.128028
1900,0.110131;0.1135;0.116869
1950,0.100874;0.1041;0.107326
2000,0;0;0
