Energy [keV],Absolute Efficiency [%]
100,0.00466515;0.0054;0.00613485
150,0.00890501;0.0099;0.010895
200,0.00871511;0.0097;0.0106849
250,0.0109046;0.012;0.0130954
300,0.0375125;0.0395;0.0414875
350,0.0198405;0.0213;0.0227595
400,0.0295308;0.0313;0.0330692
450,0.0302111;0.032;0.0337889
500,0.0254538;0.0271;0.0287462
550,0.0277824;0.0295;0.0312176
600,0.0215801;0.0231;0.0246199
650,0.0179108;0.0193;0.0206892
700,0.0147351;0.016;0.0172649
750,0.0115731;0.0127;0.0138269
800,0.0120511;0.0132;0.0143489
850,0.0120511;0.0132;0.0143489
900,0.00976077;0.0108;0.0118392
950,0.00691682;0.0078;0.00868318
1000,0.00392177;0.0046;0.00527823
1050,0.00382918;0.0045;0.00517082
1100,0.00309172;0.0037;0.00430828
1150,0.0156962;0.017;0.0183038
1200,0.060098;0.0626;0.065102
1250,0.152248;0.1562;0.160152
1300,0.279166;0.2845;0.289834
1350,0.31355;0.3192;0.32485
1400,0.231637;0.2365;0.241363
1450,0.188211;0.1926;0.196989
1500,0.155506;0.1595;0.163494
1550,0.144745;0.1486;0.152455
1600,0.130142;0.1338;0.137458
1650,0.116339;0.1198;0.123261
1700,0.109934;0.1133;0.116666
1750,0.101563;0.1048;0.108037
1800,0.0947711;0.0979;0.101029
1850,0.0852302;0.0882;0.0911698
1900,0.0752072;0.078;0.0807928
1950,0.0685317;0.0712;0.0738683
2000,0;0;0
