Energy [keV],Absolute Efficiency [%]
100,0.0651962;0.0678;0.0704038
150,0.101169;0.1044;0.107631
200,0.105698;0.109;0.112302
250,0.17971;0.184;0.18829
300,0.296009;0.3015;0.306991
350,0.248366;0.2534;0.258434
400,0.302252;0.3078;0.313348
450,0.475951;0.4829;0.489849
500,0.668673;0.6769;0.685127
550,0.727222;0.7358;0.744378
600,0.721754;0.7303;0.738846
650,0.866243;0.8756;0.884957
700,0.939457;0.9492;0.958943
750,0.955077;0.9649;0.974723
800,0.9312;0.9409;0.9506
850,0.899267;0.9088;0.918333
900,0.873106;0.8825;0.891894
950,0.812138;0.8212;0.830262
1000,0.775941;0.7848;0.793659
1050,0.707638;0.7161;0.724562
1100,0.655255;0.6634;0.671545
1150,0.57914;0.5868;0.59446
1200,0.482305;0.4893;0.496295
1250,0.420565;0.4271;0.433635
1300,0.381969;0.3882;0.394431
1350,0.359653;0.3657;0.371747
1400,0.325643;0.3314;0.337157
1450,0.303342;0.3089;0.314458
1500,0.275699;0.281;0.286301
1550,0.245693;0.2507;0.255707
1600,0.214122;0.2188;0.223478
1650,0.183565;0.1879;0.192235
1700,0.163901;0.168;0.172099
1750,0.141192;0.145;0.148808
1800,0.132312;0.136;0.139688
1850,0.120774;0.1243;0.127826
1900,0.109835;0.1132;0.116565
1950,0.104221;0.1075;0.110779
2000,0;0;0
