Energy [keV],Absolute Efficiency [%]
100,0.0788417;0.0817;0.0845583
150,0.134581;0.1383;0.142019
200,0.135666;0.1394;0.143134
250,0.174275;0.1785;0.182725
300,0.331294;0.3371;0.342906
350,0.300666;0.3062;0.311734
400,0.472476;0.4794;0.486324
450,0.637565;0.6456;0.653635
500,0.897078;0.9066;0.916122
550,0.792846;0.8018;0.810754
600,0.757646;0.7664;0.775154
650,0.751779;0.7605;0.769221
700,0.858584;0.8679;0.877216
750,0.942939;0.9527;0.962461
800,1.03866;1.0489;1.05914
850,1.14644;1.1572;1.16796
900,1.288;1.2994;1.3108
950,1.58675;1.5994;1.61205
1000,2.15617;2.1709;2.18563
1050,1.69164;1.7047;1.71776
1100,1.35073;1.3624;1.37407
1150,1.15958;1.1704;1.18122
1200,0.973085;0.983;0.992915
1250,0.849234;0.8585;0.867766
1300,0.763313;0.7721;0.780887
1350,0.701077;0.7095;0.717923
1400,0.650485;0.6586;0.666715
1450,0.61938;0.6273;0.63522
1500,0.56404;0.5716;0.57916
1550,0.500376;0.5075;0.514624
1600,0.450041;0.4568;0.463559
1650,0.412527;0.419;0.425473
1700,0.331294;0.3371;0.342906
1750,0.252029;0.2571;0.262171
1800,0.219069;0.2238;0.228531
1850,0.206802;0.2114;0.215998
1900,0.173979;0.1782;0.182421
1950,0.149483;0.1534;0.157317
2000,0;0;0
