Energy [keV],Absolute Efficiency [%]
100,0.0107137;0.0118;0.0128863
150,0.0104276;0.0115;0.0125724
200,0.0121467;0.0133;0.0144533
250,0.0156962;0.017;0.0183038
300,0.0205168;0.022;0.0234832
350,0.0128168;0.014;0.0151832
400,0.0156962;0.017;0.0183038
450,0.0182964;0.0197;0.0211036
500,0.0258417;0.0275;0.0291583
550,0.06049;0.063;0.06551
600,0.0458091;0.048;0.0501909
650,0.133989;0.1377;0.141411
700,0.0591181;0.0616;0.0640819
750,0.0178144;0.0192;0.0205856
800,0.0168509;0.0182;0.0195491
850,0.0138712;0.0151;0.0163288
900,0.0161771;0.0175;0.0188229
950,0.014639;0.0159;0.017161
1000,0.0116686;0.0128;0.0139314
1050,0.0132958;0.0145;0.0157042
1100,0.00995119;0.011;0.0120488
1150,0.0100464;0.0111;0.0121536
1200,0.009;0.01;0.011
1250,0.00871511;0.0097;0.0106849
1300,0.00401443;0.0047;0.00538557
1350,0.003;0.0036;0.0042
1400,0.00345969;0.0041;0.00474031
1450,0.0028169;0.0034;0.0039831
1500,0.0019101;0.0024;0.0028899
1550,0.00227085;0.0028;0.00332915
1600,0.0020901;0.0026;0.0031099
1650,0.0020901;0.0026;0.0031099
1700,0.00218038;0.0027;0.00321962
1750,0.00102583;0.0014;0.00177417
1800,0.0020901;0.0026;0.0031099
1850,0.00137574;0.0018;0.00222426
2000,0;0;0
