Energy [keV],Absolute Efficiency [%]
100,0.087;0.09;0.093
150,0.122845;0.1264;0.129955
200,0.127479;0.1311;0.134721
250,0.17141;0.1756;0.17979
300,0.376514;0.3827;0.388886
350,0.324751;0.3305;0.336249
400,0.409054;0.4155;0.421946
450,0.721158;0.7297;0.738242
500,0.783598;0.7925;0.801402
550,0.738954;0.7476;0.756246
600,0.677221;0.6855;0.693779
650,0.681097;0.6894;0.697703
700,0.739252;0.7479;0.756548
750,0.815619;0.8247;0.833781
800,0.869127;0.8785;0.887873
850,0.937269;0.947;0.956731
900,1.06403;1.0744;1.08477
950,1.16685;1.1777;1.18855
1000,1.35133;1.363;1.37467
1050,1.75311;1.7664;1.77969
1100,2.1448;2.1595;2.1742
1150,1.71376;1.7269;1.74004
1200,1.34535;1.357;1.36865
1250,1.15421;1.165;1.17579
1300,1.00612;1.0162;1.02628
1350,0.9312;0.9409;0.9506
1400,0.850627;0.8599;0.869173
1450,0.803784;0.8128;0.821816
1500,0.720661;0.7292;0.737739
1550,0.687061;0.6954;0.703739
1600,0.641341;0.6494;0.657459
1650,0.590466;0.5982;0.605934
1700,0.53573;0.5431;0.55047
1750,0.482404;0.4894;0.496396
1800,0.373637;0.3798;0.385963
1850,0.35043;0.3564;0.36237
1900,0.306018;0.3116;0.317182
1950,0.280355;0.2857;0.291045
2000,0;0;0
