Energy [keV],Absolute Efficiency [%]
100,0.00429289;0.005;0.00570711
150,0.0100464;0.0111;0.0121536
200,0.0116686;0.0128;0.0139314
250,0.0182964;0.0197;0.0211036
300,0.0241938;0.0258;0.0274062
350,0.0285593;0.0303;0.0320407
400,0.0368302;0.0388;0.0407698
450,0.0298224;0.0316;0.0333776
500,0.102153;0.1054;0.108647
550,0.0685317;0.0712;0.0738683
600,0.0727523;0.0755;0.0782477
650,0.0802173;0.0831;0.0859827
700,0.106486;0.1098;0.113114
750,0.127479;0.1311;0.134721
800,0.148595;0.1525;0.156405
850,0.108653;0.112;0.115347
900,0.0865083;0.0895;0.0924917
950,0.0837555;0.0867;0.0896445
1000,0.0782522;0.0811;0.0839478
1050,0.0658827;0.0685;0.0711173
1100,0.0619603;0.0645;0.0670397
1150,0.0523612;0.0547;0.0570388
1200,0.038195;0.0402;0.042205
1250,0.0362455;0.0382;0.0401545
1300,0.0246783;0.0263;0.0279217
1350,0.0236125;0.0252;0.0267875
1400,0.0154077;0.0167;0.0179923
1450,0.0156962;0.017;0.0183038
1500,0.0134876;0.0147;0.0159124
1550,0.0132;0.0144;0.0156
1600,0.00786192;0.0088;0.00973808
1650,0.00438586;0.0051;0.00581414
1700,0.00272554;0.0033;0.00387446
1750,0.00164174;0.0021;0.00255826
1800,0.00173096;0.0022;0.00266904
1850,0.00137574;0.0018;0.00222426
1900,0.00245228;0.003;0.00354772
1950,0.00164174;0.0021;0.00255826
2000,0;0;0
