Energy [keV],Absolute Efficiency [%]
100,0.00173096;0.0022;0.00266904
150,0.00776726;0.0087;0.00963274
200,0.00805132;0.009;0.00994868
250,0.0159847;0.0173;0.0186153
300,0.0316697;0.0335;0.0353303
350,0.0202269;0.0217;0.0231731
400,0.0165621;0.0179;0.0192379
450,0.0239031;0.0255;0.0270969
500,0.059706;0.0622;0.064694
550,0.0674524;0.0701;0.0727476
600,0.0754036;0.0782;0.0809964
650,0.104517;0.1078;0.111083
700,0.138034;0.1418;0.145566
750,0.0979204;0.1011;0.10428
800,0.0921146;0.0952;0.0982854
850,0.0807086;0.0836;0.0864914
900,0.0501109;0.0524;0.0546891
950,0.0322534;0.0341;0.0359466
1000,0.0222573;0.0238;0.0253427
1050,0.0180072;0.0194;0.0207928
1100,0.014543;0.0158;0.017057
1150,0.0155039;0.0168;0.0180961
1200,0.0120511;0.0132;0.0143489
1250,0.0124338;0.0136;0.0147662
1300,0.0121467;0.0133;0.0144533
1350,0.0136793;0.0149;0.0161207
1400,0.012721;0.0139;0.015079
1450,0.0064456;0.0073;0.0081544
1500,0.003;0.0036;0.0042
1550,0.0011127;0.0015;0.0018873
2000,0;0;0
