Energy [keV],Absolute Efficiency [%]
100,0.0056;0.0064;0.0072
150,0.0109046;0.012;0.0130954
200,0.0093802;0.0104;0.0114198
250,0.022838;0.0244;0.025962
300,0.0238063;0.0254;0.0269937
350,0.0269088;0.0286;0.0302912
400,0.0209033;0.0224;0.0238967
450,0.0287536;0.0305;0.0322464
500,0.0761893;0.079;0.0818107
550,0.0652942;0.0679;0.0705058
600,0.0702981;0.073;0.0757019
650,0.0862134;0.0892;0.0921866
700,0.125408;0.129;0.132592
750,0.146818;0.1507;0.154582
800,0.100775;0.104;0.107225
850,0.0950663;0.0982;0.101334
900,0.0799225;0.0828;0.0856775
950,0.0729486;0.0757;0.0784514
1000,0.0622544;0.0648;0.0673456
1050,0.0451251;0.0473;0.0494749
1100,0.0298224;0.0316;0.0333776
1150,0.0196474;0.0211;0.0225526
1200,0.0175252;0.0189;0.0202748
1250,0.0163696;0.0177;0.0190304
1300,0.0191647;0.0206;0.0220353
1350,0.0137753;0.015;0.0162247
1400,0.0115731;0.0127;0.0138269
1450,0.0174289;0.0188;0.0201711
1500,0.0163696;0.0177;0.0190304
1550,0.0057876;0.0066;0.0074124
1600,0.00345969;0.0041;0.00474031
1650,0.00254322;0.0031;0.00365678
1700,0.0019101;0.0024;0.0028899
1750,0.00155279;0.002;0.00244721
1800,0.002;0.0025;0.003
1850,0.00128769;0.0017;0.00211231
1900,0.0012;0.0016;0.002
2000,0;0;0
