Energy [keV],Absolute Efficiency [%]
100,0.00635147;0.0072;0.00804853
150,0.0101417;0.0112;0.0122583
200,0.011;0.0121;0.0132
250,0.0216768;0.0232;0.0247232
300,0.0251629;0.0268;0.0284371
350,0.0299196;0.0317;0.0334804
400,0.0380975;0.0401;0.0421025
450,0.0368302;0.0388;0.0407698
500,0.10304;0.1063;0.10956
550,0.0608821;0.0634;0.0659179
600,0.0742251;0.077;0.0797749
650,0.0803156;0.0832;0.0860844
700,0.103335;0.1066;0.109865
750,0.129748;0.1334;0.137052
800,0.145337;0.1492;0.153063
850,0.10757;0.1109;0.11423
900,0.0921146;0.0952;0.0982854
950,0.0839521;0.0869;0.0898479
1000,0.0758946;0.0787;0.0815054
1050,0.0649019;0.0675;0.0700981
1100,0.0649019;0.0675;0.0700981
1150,0.0476662;0.0499;0.0521338
1200,0.0439529;0.0461;0.0482471
1250,0.0320588;0.0339;0.0357412
1300,0.032448;0.0343;0.036152
1350,0.0193578;0.0208;0.0222422
1400,0.0154077;0.0167;0.0179923
1450,0.011382;0.0125;0.013618
1500,0.0111909;0.0123;0.0134091
1550,0.0150233;0.0163;0.0175767
1600,0.0072;0.0081;0.009
1650,0.0032755;0.0039;0.0045245
1700,0.0012;0.0016;0.002
1750,0.00146411;0.0019;0.00233589
1800,0.00146411;0.0019;0.00233589
1950,0.00128769;0.0017;0.00211231
2000,0;0;0
