Energy [keV],Absolute Efficiency [%]
100,0.00429289;0.005;0.00570711
150,0.00513189;0.0059;0.00666811
200,0.00824083;0.0092;0.0101592
250,0.014639;0.0159;0.017161
300,0.0244845;0.0261;0.0277155
350,0.0129126;0.0141;0.0152874
400,0.0123381;0.0135;0.0146619
450,0.0203235;0.0218;0.0232765
500,0.0418048;0.0439;0.0459952
550,0.0769751;0.0798;0.0826249
600,0.0767787;0.0796;0.0824213
650,0.11831;0.1218;0.12529
700,0.0877867;0.0908;0.0938133
750,0.102941;0.1062;0.109459
800,0.0524591;0.0548;0.0571409
850,0.0209033;0.0224;0.0238967
900,0.0168509;0.0182;0.0195491
950,0.0149272;0.0162;0.0174728
1000,0.0172362;0.0186;0.0199638
1050,0.0119554;0.0131;0.0142446
1100,0.0128168;0.014;0.0151832
1150,0.0114775;0.0126;0.0137225
1200,0.00890501;0.0099;0.010895
1250,0.0072;0.0081;0.009
1300,0.00748348;0.0084;0.00931652
1350,0.00588146;0.0067;0.00751854
1400,0.00263431;0.0032;0.00376569
1450,0.0019101;0.0024;0.0028899
2000,0;0;0
