Energy [keV],Absolute Efficiency [%]
100,0.00227085;0.0028;0.00332915
150,0.00672822;0.0076;0.00847178
200,0.010237;0.0113;0.012363
250,0.0152155;0.0165;0.0177845
300,0.025066;0.0267;0.028334
350,0.0155039;0.0168;0.0180961
400,0.0153116;0.0166;0.0178884
450,0.0215801;0.0231;0.0246199
500,0.0475684;0.0498;0.0520316
550,0.0719669;0.0747;0.0774331
600,0.0808069;0.0837;0.0865931
650,0.123141;0.1267;0.130259
700,0.0958536;0.099;0.102146
750,0.100086;0.1033;0.106514
800,0.0516762;0.054;0.0563238
850,0.0224508;0.024;0.0255492
900,0.0154077;0.0167;0.0179923
950,0.0159847;0.0173;0.0186153
1000,0.0134876;0.0147;0.0159124
1050,0.014255;0.0155;0.016745
1100,0.0128168;0.014;0.0151832
1150,0.0119554;0.0131;0.0142446
1200,0.0100464;0.0111;0.0121536
1250,0.00985597;0.0109;0.011944
1300,0.00995119;0.011;0.0120488
1350,0.00550627;0.0063;0.00709373
1400,0.0020901;0.0026;0.0031099
1450,0.00155279;0.002;0.00244721
1500,0.00102583;0.0014;0.00177417
2000,0;0;0
