Energy [keV],Absolute Efficiency [%]
100,0.00447889;0.0052;0.00592111
150,0.00767264;0.0086;0.00952736
200,0.0110955;0.0122;0.0133045
250,0.00833563;0.0093;0.0102644
300,0.0229348;0.0245;0.0260652
350,0.0356609;0.0376;0.0395391
400,0.0287536;0.0305;0.0322464
450,0.029628;0.0314;0.033172
500,0.063529;0.0661;0.068671
550,0.0489373;0.0512;0.0534627
600,0.0351739;0.0371;0.0390261
650,0.0292393;0.031;0.0327607
700,0.0226444;0.0242;0.0257556
750,0.0192613;0.0207;0.0221387
800,0.0188752;0.0203;0.0217248
850,0.0349791;0.0369;0.0388209
900,0.245396;0.2504;0.255404
950,0.293829;0.2993;0.304771
1000,0.172101;0.1763;0.180499
1050,0.124028;0.1276;0.131172
1100,0.101858;0.1051;0.108342
1150,0.0850335;0.088;0.0909665
1200,0.063431;0.066;0.068569
1250,0.0554938;0.0579;0.0603062
1300,0.0450274;0.0472;0.0493726
1350,0.0311834;0.033;0.0348166
1400,0.0265207;0.0282;0.0298793
1450,0.0224508;0.024;0.0255492
1500,0.0203235;0.0218;0.0232765
1550,0.014447;0.0157;0.016953
1600,0.0116686;0.0128;0.0139314
1650,0.0079566;0.0089;0.0098434
1800,0.00263431;0.0032;0.00376569
1900,0.00309172;0.0037;0.00430828
2000,0;0;0
