Energy [keV],Absolute Efficiency [%]
100,0.0616662;0.0642;0.0667338
150,0.107767;0.1111;0.114433
200,0.119394;0.1229;0.126406
250,0.186333;0.1907;0.195067
300,0.283624;0.289;0.294376
350,0.21155;0.2162;0.22085
400,0.290163;0.2956;0.301037
450,0.468207;0.4751;0.481993
500,0.683582;0.6919;0.700218
550,0.718275;0.7268;0.735325
600,0.699188;0.7076;0.716012
650,0.875493;0.8849;0.894307
700,0.953187;0.963;0.972813
750,0.950799;0.9606;0.970401
800,0.939059;0.9488;0.958541
850,0.884843;0.8943;0.903757
900,0.860772;0.8701;0.879428
950,0.805276;0.8143;0.823324
1000,0.762219;0.771;0.779781
1050,0.713304;0.7218;0.730296
1100,0.648199;0.6563;0.664401
1150,0.585001;0.5927;0.600399
1200,0.478631;0.4856;0.492569
1250,0.421656;0.4282;0.434744
1300,0.369471;0.3756;0.381729
1350,0.346662;0.3526;0.358538
1400,0.339027;0.3449;0.350773
1450,0.305721;0.3113;0.316879
1500,0.269261;0.2745;0.279739
1550,0.241139;0.2461;0.251061
1600,0.22461;0.2294;0.23419
1650,0.195923;0.2004;0.204877
1700,0.168149;0.1723;0.176451
1750,0.146226;0.1501;0.153974
1800,0.127972;0.1316;0.135228
1850,0.121267;0.1248;0.128333
1900,0.118901;0.1224;0.125899
1950,0.10432;0.1076;0.11088
2000,0;0;0
