Energy [keV],Absolute Efficiency [%]
100,0.0020901;0.0026;0.0031099
150,0.00663397;0.0075;0.00836603
200,0.00890501;0.0099;0.010895
250,0.0138712;0.0151;0.0163288
300,0.0248721;0.0265;0.0281279
350,0.0108091;0.0119;0.0129909
400,0.0152155;0.0165;0.0177845
450,0.0227412;0.0243;0.0258588
500,0.0465909;0.0488;0.0510091
550,0.0752072;0.078;0.0807928
600,0.0732432;0.076;0.0787568
650,0.115255;0.1187;0.122145
700,0.0884751;0.0915;0.0945249
750,0.104812;0.1081;0.111388
800,0.0530463;0.0554;0.0577537
850,0.0217736;0.0233;0.0248264
900,0.0172362;0.0186;0.0199638
950,0.0175252;0.0189;0.0202748
1000,0.0164658;0.0178;0.0191342
1050,0.0137753;0.015;0.0162247
1100,0.0155039;0.0168;0.0180961
1150,0.0117642;0.0129;0.0140358
1200,0.0101417;0.0112;0.0122583
1250,0.00814606;0.0091;0.0100539
1300,0.0106183;0.0117;0.0127817
1350,0.00663397;0.0075;0.00836603
1400,0.00336754;0.004;0.00463246
1450,0.00182042;0.0023;0.00277958
1500,0.00085359;0.0012;0.00154641
1600,0.000939445;0.0013;0.00166056
2000,0;0;0
