Energy [keV],Absolute Efficiency [%]
100,0.00881005;0.0098;0.0107899
150,0.00995119;0.011;0.0120488
200,0.0125295;0.0137;0.0148705
250,0.0182964;0.0197;0.0211036
300,0.0200337;0.0215;0.0229663
350,0.0134876;0.0147;0.0159124
400,0.0158885;0.0172;0.0185115
450,0.0181036;0.0195;0.0208964
500,0.0339079;0.0358;0.0376921
550,0.108259;0.1116;0.114941
600,0.087885;0.0909;0.093915
650,0.11693;0.1204;0.12387
700,0.0835589;0.0865;0.0894411
750,0.0234189;0.025;0.0265811
800,0.0184893;0.0199;0.0213107
850,0.014159;0.0154;0.016641
900,0.0129126;0.0141;0.0152874
950,0.0139671;0.0152;0.0164329
1000,0.0124338;0.0136;0.0147662
1050,0.0130084;0.0142;0.0153916
1100,0.0110955;0.0122;0.0133045
1150,0.0100464;0.0111;0.0121536
1200,0.0093802;0.0104;0.0114198
1250,0.00767264;0.0086;0.00952736
1300,0.00466515;0.0054;0.00613485
1350,0.00429289;0.005;0.00570711
1400,0.00290839;0.0035;0.00409161
1450,0.0020901;0.0026;0.0031099
1500,0.002;0.0025;0.003
1550,0.00218038;0.0027;0.00321962
1600,0.00102583;0.0014;0.00177417
1650,0.00164174;0.0021;0.00255826
1700,0.0020901;0.0026;0.0031099
1750,0.00182042;0.0023;0.00277958
1800,0.00164174;0.0021;0.00255826
1900,0.00182042;0.0023;0.00277958
1950,0.00182042;0.0023;0.00277958
2000,0;0;0
