Energy [keV],Absolute Efficiency [%]
100,0.0057876;0.0066;0.0074124
150,0.00985597;0.0109;0.011944
200,0.0126253;0.0138;0.0149747
250,0.0182964;0.0197;0.0211036
300,0.02129;0.0228;0.02431
350,0.0140631;0.0153;0.0165369
400,0.0156962;0.017;0.0183038
450,0.0168509;0.0182;0.0195491
500,0.0328372;0.0347;0.0365628
550,0.108456;0.1118;0.115144
600,0.0879834;0.091;0.0940166
650,0.122943;0.1265;0.130057
700,0.0834606;0.0864;0.0893394
750,0.0221605;0.0237;0.0252395
800,0.014351;0.0156;0.016849
850,0.014543;0.0158;0.017057
900,0.0165621;0.0179;0.0192379
950,0.012721;0.0139;0.015079
1000,0.0131042;0.0143;0.0154958
1050,0.0116686;0.0128;0.0139314
1100,0.00928511;0.0103;0.0113149
1150,0.00966559;0.0107;0.0117344
1200,0.00814606;0.0091;0.0100539
1250,0.00976077;0.0108;0.0118392
1300,0.0042;0.0049;0.0056
1350,0.00392177;0.0046;0.00527823
1400,0.002;0.0025;0.003
1450,0.00245228;0.003;0.00354772
1500,0.00227085;0.0028;0.00332915
1550,0.00128769;0.0017;0.00211231
1600,0.00173096;0.0022;0.00266904
1650,0.00155279;0.002;0.00244721
1700,0.000939445;0.0013;0.00166056
1750,0.002;0.0025;0.003
1800,0.0019101;0.0024;0.0028899
1850,0.000939445;0.0013;0.00166056
1900,0.00146411;0.0019;0.00233589
1950,0.00137574;0.0018;0.00222426
2000,0;0;0
