Energy [keV],Absolute Efficiency [%]
100,0.0042;0.0049;0.0056
150,0.00786192;0.0088;0.00973808
200,0.0107137;0.0118;0.0128863
250,0.0159847;0.0173;0.0186153
300,0.0272971;0.029;0.0307029
350,0.0227412;0.0243;0.0258588
400,0.0170435;0.0184;0.0197565
450,0.0264237;0.0281;0.0297763
500,0.0575505;0.06;0.0624495
550,0.0702981;0.073;0.0757019
600,0.0702;0.0729;0.0756
650,0.0946727;0.0978;0.100927
700,0.133595;0.1373;0.141005
750,0.0951647;0.0983;0.101435
800,0.095952;0.0991;0.102248
850,0.0808069;0.0837;0.0865931
900,0.0483506;0.0506;0.0528494
950,0.0254538;0.0271;0.0287462
1000,0.0180072;0.0194;0.0207928
1050,0.0156962;0.017;0.0183038
1100,0.0132958;0.0145;0.0157042
1150,0.014543;0.0158;0.017057
1200,0.0155039;0.0168;0.0180961
1250,0.0124338;0.0136;0.0147662
1300,0.0104276;0.0115;0.0125724
1350,0.0122424;0.0134;0.0145576
1400,0.0164658;0.0178;0.0191342
1450,0.00447889;0.0052;0.00592111
1500,0.00155279;0.002;0.00244721
2000,0;0;0
