Energy [keV],Absolute Efficiency [%]
100,0.0042;0.0049;0.0056
150,0.00748348;0.0084;0.00931652
200,0.00957044;0.0106;0.0116296
250,0.0172362;0.0186;0.0199638
300,0.0273941;0.0291;0.0308059
350,0.0182;0.0196;0.021
400,0.0172362;0.0186;0.0199638
450,0.0239031;0.0255;0.0270969
500,0.0506978;0.053;0.0553022
550,0.0621564;0.0647;0.0672436
600,0.0709852;0.0737;0.0764148
650,0.100874;0.1041;0.107326
700,0.140896;0.1447;0.148504
750,0.101858;0.1051;0.108342
800,0.0950663;0.0982;0.101334
850,0.080119;0.083;0.085881
900,0.0549063;0.0573;0.0596937
950,0.0283651;0.0301;0.0318349
1000,0.0204201;0.0219;0.0233799
1050,0.0180072;0.0194;0.0207928
1100,0.0134876;0.0147;0.0159124
1150,0.0148311;0.0161;0.0173689
1200,0.0154077;0.0167;0.0179923
1250,0.0106183;0.0117;0.0127817
1300,0.00995119;0.011;0.0120488
1350,0.014543;0.0158;0.017057
1400,0.0115731;0.0127;0.0138269
1450,0.00466515;0.0054;0.00613485
1500,0.0028169;0.0034;0.0039831
2000,0;0;0
