Energy [keV],Absolute Efficiency [%]
100,0.00336754;0.004;0.00463246
150,0.00776726;0.0087;0.00963274
200,0.010523;0.0116;0.012677
250,0.0093802;0.0104;0.0114198
300,0.0229348;0.0245;0.0260652
350,0.0329345;0.0348;0.0366655
400,0.0404384;0.0425;0.0445616
450,0.0275883;0.0293;0.0310117
500,0.0700037;0.0727;0.0753963
550,0.048155;0.0504;0.052645
600,0.0377075;0.0397;0.0416925
650,0.0282679;0.03;0.0317321
700,0.0267148;0.0284;0.0300852
750,0.0220638;0.0236;0.0251362
800,0.0188752;0.0203;0.0217248
850,0.0392678;0.0413;0.0433322
900,0.252525;0.2576;0.262675
950,0.292343;0.2978;0.303257
1000,0.172299;0.1765;0.180701
1050,0.126099;0.1297;0.133301
1100,0.0946727;0.0978;0.100927
1150,0.082576;0.0855;0.088424
1200,0.065;0.0676;0.0702
1250,0.0501109;0.0524;0.0546891
1300,0.040536;0.0426;0.044664
1350,0.0313779;0.0332;0.0350221
1400,0.0259387;0.0276;0.0292613
1450,0.0244845;0.0261;0.0277155
1500,0.0198405;0.0213;0.0227595
1550,0.0155039;0.0168;0.0180961
1600,0.014159;0.0154;0.016641
1650,0.00475838;0.0055;0.00624162
2000,0;0;0
