Energy [keV],Absolute Efficiency [%]
100,0.0621564;0.0647;0.0672436
150,0.101858;0.1051;0.108342
200,0.105895;0.1092;0.112505
250,0.182181;0.1865;0.190819
300,0.303441;0.309;0.314559
350,0.221543;0.2263;0.231057
400,0.303639;0.3092;0.314761
450,0.459868;0.4667;0.473532
500,0.673742;0.682;0.690258
550,0.720561;0.7291;0.737639
600,0.710521;0.719;0.727479
650,0.877383;0.8868;0.896217
700,0.939855;0.9496;0.959345
750,0.945029;0.9548;0.964571
800,0.941845;0.9516;0.961355
850,0.897078;0.9066;0.916122
900,0.859579;0.8689;0.878221
950,0.812337;0.8214;0.830463
1000,0.767986;0.7768;0.785614
1050,0.697796;0.7062;0.714604
1100,0.652075;0.6602;0.668325
1150,0.549338;0.5568;0.564262
1200,0.492333;0.4994;0.506467
1250,0.428603;0.4352;0.441797
1300,0.390898;0.3972;0.403502
1350,0.346761;0.3527;0.358639
1400,0.332087;0.3379;0.343713
1450,0.299874;0.3054;0.310926
1500,0.26936;0.2746;0.27984
1550,0.239654;0.2446;0.249546
1600,0.222928;0.2277;0.232472
1650,0.194836;0.1993;0.203764
1700,0.16726;0.1714;0.17554
1750,0.148397;0.1523;0.156203
1800,0.1332;0.1369;0.1406
1850,0.122943;0.1265;0.130057
1900,0.111313;0.1147;0.118087
1950,0.103138;0.1064;0.109662
2000,0;0;0
