Energy [keV],Absolute Efficiency [%]
100,0.00485167;0.0056;0.00634833
150,0.00776726;0.0087;0.00963274
200,0.010237;0.0113;0.012363
250,0.0160809;0.0174;0.0187191
300,0.0275883;0.0293;0.0310117
350,0.0338106;0.0357;0.0375894
400,0.0236125;0.0252;0.0267875
450,0.0269088;0.0286;0.0302912
500,0.0766804;0.0795;0.0823196
550,0.0639212;0.0665;0.0690788
600,0.0738323;0.0766;0.0793677
650,0.0892619;0.0923;0.0953381
700,0.117719;0.1212;0.124681
750,0.146127;0.15;0.153873
800,0.104221;0.1075;0.110779
850,0.0894586;0.0925;0.0955414
900,0.082576;0.0855;0.088424
950,0.0692186;0.0719;0.0745814
1000,0.0578444;0.0603;0.0627556
1050,0.0432693;0.0454;0.0475307
1100,0.0262297;0.0279;0.0295703
1150,0.0188752;0.0203;0.0217248
1200,0.0161771;0.0175;0.0188229
1250,0.0175252;0.0189;0.0202748
1300,0.0171399;0.0185;0.0198601
1350,0.0116686;0.0128;0.0139314
1400,0.0118598;0.013;0.0141402
1450,0.0188752;0.0203;0.0217248
1500,0.0180072;0.0194;0.0207928
1550,0.00663397;0.0075;0.00836603
1600,0.00263431;0.0032;0.00376569
1650,0.00272554;0.0033;0.00387446
1700,0.00155279;0.002;0.00244721
1950,0.00128769;0.0017;0.00211231
2000,0;0;0
