Energy [keV],Absolute Efficiency [%]
100,0.00227085;0.0028;0.00332915
150,0.00663397;0.0075;0.00836603
200,0.0086202;0.0096;0.0105798
250,0.0160809;0.0174;0.0187191
300,0.0310862;0.0329;0.0347138
350,0.0222573;0.0238;0.0253427
400,0.0179108;0.0193;0.0206892
450,0.0262297;0.0279;0.0295703
500,0.0619603;0.0645;0.0670397
550,0.0653923;0.068;0.0706077
600,0.0735378;0.0763;0.0790622
650,0.0991016;0.1023;0.105498
700,0.140699;0.1445;0.148301
750,0.101169;0.1044;0.107631
800,0.098511;0.1017;0.104889
850,0.0788417;0.0817;0.0845583
900,0.0527527;0.0551;0.0574473
950,0.0300167;0.0318;0.0335833
1000,0.0192613;0.0207;0.0221387
1050,0.0182;0.0196;0.021
1100,0.0174289;0.0188;0.0201711
1150,0.0137753;0.015;0.0162247
1200,0.0166584;0.018;0.0193416
1250,0.0124338;0.0136;0.0147662
1300,0.0112864;0.0124;0.0135136
1350,0.0124338;0.0136;0.0147662
1400,0.0134876;0.0147;0.0159124
1450,0.00475838;0.0055;0.00624162
1500,0.00218038;0.0027;0.00321962
1550,0.0012;0.0016;0.002
2000,0;0;0
