Energy [keV],Absolute Efficiency [%]
100,0.00336754;0.004;0.00463246
150,0.00503842;0.0058;0.00656158
200,0.00919005;0.0102;0.01121
250,0.0182964;0.0197;0.0211036
300,0.0222573;0.0238;0.0253427
350,0.0119554;0.0131;0.0142446
400,0.0149272;0.0162;0.0174728
450,0.0179108;0.0193;0.0206892
500,0.0312807;0.0331;0.0349193
550,0.0685317;0.0712;0.0738683
600,0.0439529;0.0461;0.0482471
650,0.0261327;0.0278;0.0294673
700,0.271737;0.277;0.282263
750,0.0792347;0.0821;0.0849653
800,0.0258417;0.0275;0.0291583
850,0.0202269;0.0217;0.0231731
900,0.0172362;0.0186;0.0199638
950,0.0163696;0.0177;0.0190304
1000,0.0156;0.0169;0.0182
1050,0.0139671;0.0152;0.0164329
1100,0.0118598;0.013;0.0141402
1150,0.0115731;0.0127;0.0138269
1200,0.0093802;0.0104;0.0114198
1250,0.0159847;0.0173;0.0186153
1300,0.010523;0.0116;0.012677
1350,0.00569377;0.0065;0.00730623
1400,0.00245228;0.003;0.00354772
2000,0;0;0
