Energy [keV],Absolute Efficiency [%]
100,0.0032755;0.0039;0.0045245
150,0.00485167;0.0056;0.00634833
200,0.00653977;0.0074;0.00826023
250,0.0170435;0.0184;0.0197565
300,0.021967;0.0235;0.025033
350,0.0109046;0.012;0.0130954
400,0.014159;0.0154;0.016641
450,0.0192613;0.0207;0.0221387
500,0.036343;0.0383;0.040257
550,0.06;0.0625;0.065
600,0.0412191;0.0433;0.0453809
650,0.0245814;0.0262;0.0278186
700,0.270647;0.2759;0.281153
750,0.0763858;0.0792;0.0820142
800,0.022838;0.0244;0.025962
850,0.0217736;0.0233;0.0248264
900,0.0189717;0.0204;0.0218283
950,0.0174289;0.0188;0.0201711
1000,0.0158885;0.0172;0.0185115
1050,0.0148311;0.0161;0.0173689
1100,0.0120511;0.0132;0.0143489
1150,0.0132958;0.0145;0.0157042
1200,0.0132958;0.0145;0.0157042
1250,0.0136793;0.0149;0.0161207
1300,0.0130084;0.0142;0.0153916
1350,0.00550627;0.0063;0.00709373
1400,0.00236148;0.0029;0.00343852
2000,0;0;0
