Energy [keV],Absolute Efficiency [%]
100,0.00494502;0.0057;0.00645498
150,0.0100464;0.0111;0.0121536
200,0.0101417;0.0112;0.0122583
250,0.0188752;0.0203;0.0217248
300,0.0257447;0.0274;0.0290553
350,0.0287536;0.0305;0.0322464
400,0.0222573;0.0238;0.0253427
450,0.0267148;0.0284;0.0300852
500,0.0776627;0.0805;0.0833373
550,0.0616662;0.0642;0.0667338
600,0.0705926;0.0733;0.0760074
650,0.0904422;0.0935;0.0965578
700,0.119296;0.1228;0.126304
750,0.142574;0.1464;0.150226
800,0.100972;0.1042;0.107428
850,0.0937871;0.0969;0.100013
900,0.0756;0.0784;0.0812
950,0.0688261;0.0715;0.0741739
1000,0.0610781;0.0636;0.0661219
1050,0.0454183;0.0476;0.0497817
1100,0.0291422;0.0309;0.0326578
1150,0.0200337;0.0215;0.0229663
1200,0.0172362;0.0186;0.0199638
1250,0.0151194;0.0164;0.0176806
1300,0.0147351;0.016;0.0172649
1350,0.0111909;0.0123;0.0134091
1400,0.0139671;0.0152;0.0164329
1450,0.021;0.0225;0.024
1500,0.0136793;0.0149;0.0161207
1550,0.00843046;0.0094;0.0103695
1600,0.00345969;0.0041;0.00474031
1650,0.00336754;0.004;0.00463246
1700,0.00236148;0.0029;0.00343852
1750,0.00218038;0.0027;0.00321962
1800,0.00227085;0.0028;0.00332915
1900,0.00128769;0.0017;0.00211231
1950,0.00164174;0.0021;0.00255826
2000,0;0;0
