Energy [keV],Absolute Efficiency [%]
100,0.0779575;0.0808;0.0836425
150,0.104911;0.1082;0.111489
200,0.138133;0.1419;0.145667
250,0.192265;0.1967;0.201135
300,0.319398;0.3251;0.330802
350,0.252327;0.2574;0.262473
400,0.315235;0.3209;0.326565
450,0.494319;0.5014;0.508481
500,0.696405;0.7048;0.713195
550,0.777632;0.7865;0.795368
600,0.767489;0.7763;0.785111
650,1.01886;1.029;1.03914
700,1.00313;1.0132;1.02327
750,0.993483;1.0035;1.01352
800,0.948909;0.9587;0.968491
850,0.918566;0.9282;0.937834
900,0.866541;0.8759;0.885259
950,0.83173;0.8409;0.85007
1000,0.770671;0.7795;0.788329
1050,0.731199;0.7398;0.748401
1100,0.647702;0.6558;0.663898
1150,0.591459;0.5992;0.606941
1200,0.512789;0.52;0.527211
1250,0.43694;0.4436;0.45026
1300,0.401613;0.408;0.414387
1350,0.345274;0.3512;0.357126
1400,0.333376;0.3392;0.345024
1450,0.309487;0.3151;0.320713
1500,0.277779;0.2831;0.288421
1550,0.239456;0.2444;0.249344
1600,0.211649;0.2163;0.220951
1650,0.193649;0.1981;0.202551
1700,0.167161;0.1713;0.175439
1750,0.153334;0.1573;0.161266
1800,0.133595;0.1373;0.141005
1850,0.116536;0.12;0.123464
1900,0.112496;0.1159;0.119304
1950,0.105009;0.1083;0.111591
2000,0;0;0
