Energy [keV],Absolute Efficiency [%]
100,0.0570607;0.0595;0.0619393
150,0.0899504;0.093;0.0960496
200,0.108752;0.1121;0.115448
250,0.144548;0.1484;0.152252
300,0.302648;0.3082;0.313752
350,0.254208;0.2593;0.264392
400,0.264408;0.2696;0.274792
450,0.291649;0.2971;0.302551
500,0.512193;0.5194;0.526607
550,0.535234;0.5426;0.549966
600,0.377506;0.3837;0.389894
650,0.376117;0.3823;0.388483
700,0.51696;0.5242;0.53144
750,0.563046;0.5706;0.578154
800,0.603481;0.6113;0.619119
850,0.648696;0.6568;0.664904
900,0.661715;0.6699;0.678085
950,0.680004;0.6883;0.696596
1000,0.737761;0.7464;0.755039
1050,0.692627;0.701;0.709373
1100,0.765799;0.7746;0.783401
1150,0.767091;0.7759;0.784709
1200,0.812337;0.8214;0.830463
1250,0.814525;0.8236;0.832675
1300,0.798017;0.807;0.815983
1350,0.772461;0.7813;0.790139
1400,0.647602;0.6557;0.663798
1450,0.549835;0.5573;0.564765
1500,0.470193;0.4771;0.484007
1550,0.409253;0.4157;0.422147
1600,0.383358;0.3896;0.395842
1650,0.347951;0.3539;0.359849
1700,0.300567;0.3061;0.311633
1750,0.263219;0.2684;0.273581
1800,0.229064;0.2339;0.238736
1850,0.195429;0.1999;0.204371
1900,0.161037;0.1651;0.169163
1950,0.145633;0.1495;0.153367
2000,0;0;0
