Energy [keV],Absolute Efficiency [%]
100,0.00457199;0.0053;0.00602801
150,0.00729446;0.0082;0.00910554
200,0.0114775;0.0126;0.0137225
250,0.011382;0.0125;0.013618
300,0.0269088;0.0286;0.0302912
350,0.0362455;0.0382;0.0401545
400,0.0215801;0.0231;0.0246199
450,0.0323507;0.0342;0.0360493
500,0.0697093;0.0724;0.0750907
550,0.0518719;0.0542;0.0565281
600,0.0377075;0.0397;0.0416925
650,0.0311834;0.033;0.0348166
700,0.0243875;0.026;0.0276125
750,0.0191647;0.0206;0.0220353
800,0.0478617;0.0501;0.0523383
850,0.303144;0.3087;0.314256
900,0.20522;0.2098;0.21438
950,0.128367;0.132;0.135633
1000,0.0863117;0.0893;0.0922883
1050,0.0649019;0.0675;0.0700981
1100,0.0470796;0.0493;0.0515204
1150,0.0303084;0.0321;0.0338916
1200,0.02129;0.0228;0.02431
1250,0.0198405;0.0213;0.0227595
1300,0.0206134;0.0221;0.0235866
1350,0.0184893;0.0199;0.0213107
1400,0.0206134;0.0221;0.0235866
1450,0.0182;0.0196;0.021
1500,0.011382;0.0125;0.013618
1550,0.00663397;0.0075;0.00836603
1600,0.00382918;0.0045;0.00517082
2000,0;0;0
