Energy [keV],Absolute Efficiency [%]
100,0.00245228;0.003;0.00354772
150,0.00625739;0.0071;0.00794261
200,0.00833563;0.0093;0.0102644
250,0.0157923;0.0171;0.0184077
300,0.0252599;0.0269;0.0285401
350,0.0112864;0.0124;0.0135136
400,0.0148311;0.0161;0.0173689
450,0.0198405;0.0213;0.0227595
500,0.0453206;0.0475;0.0496794
550,0.0778592;0.0807;0.0835408
600,0.0758946;0.0787;0.0815054
650,0.117423;0.1209;0.124377
700,0.0937871;0.0969;0.100013
750,0.103926;0.1072;0.110474
800,0.0517741;0.0541;0.0564259
850,0.0202269;0.0217;0.0231731
900,0.0182;0.0196;0.021
950,0.0181036;0.0195;0.0208964
1000,0.014447;0.0157;0.016953
1050,0.0129126;0.0141;0.0152874
1100,0.0140631;0.0153;0.0165369
1150,0.00995119;0.011;0.0120488
1200,0.0115731;0.0127;0.0138269
1250,0.00909501;0.0101;0.011105
1300,0.0079566;0.0089;0.0098434
1350,0.00597538;0.0068;0.00762462
1400,0.00336754;0.004;0.00463246
1450,0.0019101;0.0024;0.0028899
2000,0;0;0
