Energy [keV],Absolute Efficiency [%]
100,0.0744215;0.0772;0.0799785
150,0.125113;0.1287;0.132287
200,0.129945;0.1336;0.137255
250,0.17556;0.1798;0.18404
300,0.529076;0.5364;0.543724
350,0.273124;0.2784;0.283676
400,0.379192;0.3854;0.391608
450,0.748001;0.7567;0.765399
500,0.563742;0.5713;0.578858
550,0.562053;0.5696;0.577147
600,0.537816;0.5452;0.552584
650,0.510207;0.5174;0.524593
700,0.509214;0.5164;0.523586
750,0.576855;0.5845;0.592145
800,0.605071;0.6129;0.620729
850,0.65615;0.6643;0.67245
900,0.734579;0.7432;0.751821
950,0.766296;0.7751;0.783904
1000,0.845853;0.8551;0.864347
1050,0.92344;0.9331;0.94276
1100,0.976767;0.9867;0.996633
1150,1.03348;1.0437;1.05392
1200,1.10016;1.1107;1.12124
1250,1.30114;1.3126;1.32406
1300,1.75978;1.7731;1.78642
1350,1.82086;1.8344;1.84794
1400,1.51464;1.527;1.53936
1450,1.27118;1.2825;1.29382
1500,1.10544;1.116;1.12656
1550,1.00522;1.0153;1.02538
1600,0.956171;0.966;0.975829
1650,0.87798;0.8874;0.89682
1700,0.796724;0.8057;0.814676
1750,0.753171;0.7619;0.770629
1800,0.691534;0.6999;0.708266
1850,0.616101;0.624;0.631899
1900,0.563841;0.5714;0.578959
1950,0.50554;0.5127;0.51986
2000,0;0;0
