Energy [keV],Absolute Efficiency [%]
100,0.00833563;0.0093;0.0102644
150,0.00957044;0.0106;0.0116296
200,0.0121467;0.0133;0.0144533
250,0.0119554;0.0131;0.0142446
300,0.0265207;0.0282;0.0298793
350,0.0226444;0.0242;0.0257556
400,0.0283651;0.0301;0.0318349
450,0.0672561;0.0699;0.0725439
500,0.0641174;0.0667;0.0692826
550,0.0586282;0.0611;0.0635718
600,0.0612741;0.0638;0.0663259
650,0.0607841;0.0633;0.0658159
700,0.0699056;0.0726;0.0752944
750,0.0707889;0.0735;0.0762111
800,0.078154;0.081;0.083846
850,0.0932952;0.0964;0.0995048
900,0.0981172;0.1013;0.104483
950,0.112496;0.1159;0.119304
1000,0.122549;0.1261;0.129651
1050,0.133792;0.1375;0.141208
1100,0.125606;0.1292;0.132794
1150,0.108062;0.1114;0.114738
1200,0.0828708;0.0858;0.0887292
1250,0.0712797;0.074;0.0767203
1300,0.0684335;0.0711;0.0737665
1350,0.0643135;0.0669;0.0694865
1400,0.0650981;0.0677;0.0703019
1450,0.059314;0.0618;0.064286
1500,0.049035;0.0513;0.053565
1550,0.0454183;0.0476;0.0497817
1600,0.0470796;0.0493;0.0515204
1650,0.0411215;0.0432;0.0452785
1700,0.0393653;0.0414;0.0434347
1750,0.0346869;0.0366;0.0385131
1800,0.031767;0.0336;0.035433
1850,0.0289479;0.0307;0.0324521
1900,0.0270059;0.0287;0.0303941
1950,0.0240969;0.0257;0.0273031
2000,0;0;0
