Energy [keV],Absolute Efficiency [%]
100,0.00345969;0.0041;0.00474031
150,0.009;0.01;0.011
200,0.010523;0.0116;0.012677
250,0.011;0.0121;0.0132
300,0.0327399;0.0346;0.0364601
350,0.0160809;0.0174;0.0187191
400,0.0300167;0.0318;0.0335833
450,0.0347843;0.0367;0.0386157
500,0.0291422;0.0309;0.0326578
550,0.0262297;0.0279;0.0295703
600,0.0237094;0.0253;0.0268906
650,0.0165621;0.0179;0.0192379
700,0.0151194;0.0164;0.0176806
750,0.0159847;0.0173;0.0186153
800,0.0115731;0.0127;0.0138269
850,0.0111909;0.0123;0.0134091
900,0.009;0.01;0.011
950,0.00710557;0.008;0.00889443
1000,0.00429289;0.005;0.00570711
1050,0.00309172;0.0037;0.00430828
1100,0.00336754;0.004;0.00463246
1150,0.0159847;0.0173;0.0186153
1200,0.05951;0.062;0.06449
1250,0.14593;0.1498;0.15367
1300,0.278374;0.2837;0.289026
1350,0.309487;0.3151;0.320713
1400,0.233913;0.2388;0.243687
1450,0.196912;0.2014;0.205888
1500,0.15442;0.1584;0.16238
1550,0.139416;0.1432;0.146984
1600,0.132509;0.1362;0.139891
1650,0.118113;0.1216;0.125087
1700,0.105403;0.1087;0.111997
1750,0.110033;0.1134;0.116767
1800,0.0964441;0.0996;0.102756
1850,0.0819862;0.0849;0.0878138
1900,0.0759929;0.0788;0.0816071
1950,0.0684335;0.0711;0.0737665
2000,0;0;0
