Energy [keV],Absolute Efficiency [%]
100,0.0581383;0.0606;0.0630617
150,0.104221;0.1075;0.110779
200,0.119296;0.1228;0.126304
250,0.185048;0.1894;0.193752
300,0.294226;0.2997;0.305174
350,0.247772;0.2528;0.257828
400,0.301162;0.3067;0.312238
450,0.481312;0.4883;0.495288
500,0.675332;0.6836;0.691868
550,0.721357;0.7299;0.738443
600,0.750487;0.7592;0.767913
650,0.876388;0.8858;0.895212
700,0.949605;0.9594;0.969195
750,0.959554;0.9694;0.979246
800,0.922147;0.9318;0.941453
850,0.889121;0.8986;0.908079
900,0.857689;0.867;0.876311
950,0.808856;0.8179;0.826944
1000,0.75516;0.7639;0.77264
1050,0.710322;0.7188;0.727278
1100,0.649391;0.6575;0.665609
1150,0.583213;0.5909;0.598587
1200,0.505043;0.5122;0.519357
1250,0.427015;0.4336;0.440185
1300,0.385739;0.392;0.398261
1350,0.356678;0.3627;0.368722
1400,0.331294;0.3371;0.342906
1450,0.308297;0.3139;0.319503
1500,0.263417;0.2686;0.273783
1550,0.242327;0.2473;0.252273
1600,0.209275;0.2139;0.218525
1650,0.191177;0.1956;0.200023
1700,0.165778;0.1699;0.174022
1750,0.14899;0.1529;0.15681
1800,0.121662;0.1252;0.128738
1850,0.119296;0.1228;0.126304
1900,0.107176;0.1105;0.113824
1950,0.105698;0.109;0.112302
2000,0;0;0
