Energy [keV],Absolute Efficiency [%]
100,0.0473729;0.0496;0.0518271
150,0.0873933;0.0904;0.0934067
200,0.114762;0.1182;0.121638
250,0.144548;0.1484;0.152252
300,0.300766;0.3063;0.311834
350,0.255;0.2601;0.2652
400,0.287785;0.2932;0.298615
450,0.298387;0.3039;0.309413
500,0.530963;0.5383;0.545637
550,0.521131;0.5284;0.535669
600,0.369571;0.3757;0.381829
650,0.36838;0.3745;0.38062
700,0.520038;0.5273;0.534562
750,0.578146;0.5858;0.593454
800,0.616101;0.624;0.631899
850,0.651478;0.6596;0.667722
900,0.685868;0.6942;0.702532
950,0.687757;0.6961;0.704443
1000,0.720064;0.7286;0.737136
1050,0.692429;0.7008;0.709171
1100,0.767688;0.7765;0.785312
1150,0.756651;0.7654;0.774149
1200,0.823575;0.8327;0.841825
1250,0.801199;0.8102;0.819201
1300,0.812536;0.8216;0.830664
1350,0.767489;0.7763;0.785111
1400,0.635776;0.6438;0.651824
1450,0.542484;0.5499;0.557316
1500,0.464038;0.4709;0.477762
1550,0.424038;0.4306;0.437162
1600,0.382267;0.3885;0.394733
1650,0.339622;0.3455;0.351378
1700,0.293928;0.2994;0.304872
1750,0.274312;0.2796;0.284888
1800,0.221345;0.2261;0.230855
1850,0.192067;0.1965;0.200933
1900,0.168347;0.1725;0.176653
1950,0.151162;0.1551;0.159038
2000,0;0;0
