Energy [keV],Absolute Efficiency [%]
100,0.00976077;0.0108;0.0118392
150,0.00995119;0.011;0.0120488
200,0.0154077;0.0167;0.0179923
250,0.0170435;0.0184;0.0197565
300,0.0182;0.0196;0.021
350,0.0147351;0.016;0.0172649
400,0.0170435;0.0184;0.0197565
450,0.0173325;0.0187;0.0200675
500,0.0282679;0.03;0.0317321
550,0.0586282;0.0611;0.0635718
600,0.0418048;0.0439;0.0459952
650,0.135272;0.139;0.142728
700,0.0558855;0.0583;0.0607145
750,0.0206134;0.0221;0.0235866
800,0.0203235;0.0218;0.0232765
850,0.0180072;0.0194;0.0207928
900,0.0154077;0.0167;0.0179923
950,0.0123381;0.0135;0.0146619
1000,0.014543;0.0158;0.017057
1050,0.0109046;0.012;0.0130954
1100,0.0107137;0.0118;0.0128863
1150,0.0107137;0.0118;0.0128863
1200,0.010237;0.0113;0.012363
1250,0.00663397;0.0075;0.00836603
1300,0.00485167;0.0056;0.00634833
1350,0.0032755;0.0039;0.0045245
1400,0.00309172;0.0037;0.00430828
1450,0.00218038;0.0027;0.00321962
1500,0.00173096;0.0022;0.00266904
1550,0.00128769;0.0017;0.00211231
1600,0.0019101;0.0024;0.0028899
1650,0.00182042;0.0023;0.00277958
1700,0.00146411;0.0019;0.00233589
1750,0.00146411;0.0019;0.00233589
1800,0.00218038;0.0027;0.00321962
1850,0.00137574;0.0018;0.00222426
1900,0.00227085;0.0028;0.00332915
1950,0.00173096;0.0022;0.00266904
2000,0;0;0
