Energy [keV],Absolute Efficiency [%]
100,0.043074;0.0452;0.047326
150,0.0975267;0.1007;0.103873
200,0.119591;0.1231;0.126609
250,0.232033;0.2369;0.241767
300,0.363818;0.3699;0.375982
350,0.253614;0.2587;0.263786
400,0.231439;0.2363;0.241161
450,0.313154;0.3188;0.324446
500,0.67891;0.6872;0.69549
550,0.803088;0.8121;0.821112
600,0.749095;0.7578;0.766505
650,0.925629;0.9353;0.944971
700,1.23832;1.2495;1.26068
750,2.04724;2.0616;2.07596
800,1.2645;1.2758;1.2871
850,0.856794;0.8661;0.875406
900,0.543378;0.5508;0.558222
950,0.347753;0.3537;0.359647
1000,0.256287;0.2614;0.266513
1050,0.218673;0.2234;0.228127
1100,0.194737;0.1992;0.203663
1150,0.191474;0.1959;0.200326
1200,0.187816;0.1922;0.196584
1250,0.178327;0.1826;0.186873
1300,0.185443;0.1898;0.194157
1350,0.187223;0.1916;0.195977
1400,0.145239;0.1491;0.152961
1450,0.0640193;0.0666;0.0691807
1500,0.0347843;0.0367;0.0386157
2000,0;0;0
