Energy [keV],Absolute Efficiency [%]
100,0.00616334;0.007;0.00783666
150,0.0132958;0.0145;0.0157042
200,0.0106183;0.0117;0.0127817
250,0.0188752;0.0203;0.0217248
300,0.024969;0.0266;0.028231
350,0.0182;0.0196;0.021
400,0.042781;0.0449;0.047019
450,0.0492306;0.0515;0.0537694
500,0.0754036;0.0782;0.0809964
550,0.0729486;0.0757;0.0784514
600,0.081888;0.0848;0.087712
650,0.0812;0.0841;0.087
700,0.0977235;0.1009;0.104076
750,0.116634;0.1201;0.123566
800,0.128071;0.1317;0.135329
850,0.143067;0.1469;0.150733
900,0.124521;0.1281;0.131679
950,0.0950663;0.0982;0.101334
1000,0.0836572;0.0866;0.0895428
1050,0.0721632;0.0749;0.0776368
1100,0.0693167;0.072;0.0746833
1150,0.0643135;0.0669;0.0694865
1200,0.0503065;0.0526;0.0548935
1250,0.0487417;0.051;0.0532583
1300,0.0454183;0.0476;0.0497817
1350,0.0452228;0.0474;0.0495772
1400,0.0422929;0.0444;0.0465071
1450,0.038195;0.0402;0.042205
1500,0.0336159;0.0355;0.0373841
1550,0.0265207;0.0282;0.0298793
1600,0.0222573;0.0238;0.0253427
1650,0.014447;0.0157;0.016953
1700,0.00776726;0.0087;0.00963274
1750,0.00401443;0.0047;0.00538557
1800,0.00182042;0.0023;0.00277958
2000,0;0;0
