Energy [keV],Absolute Efficiency [%]
100,0.0642154;0.0668;0.0693846
150,0.117423;0.1209;0.124377
200,0.133792;0.1375;0.141208
250,0.254109;0.2592;0.264291
300,0.341407;0.3473;0.353193
350,0.398041;0.4044;0.410759
400,0.270449;0.2757;0.280951
450,0.361537;0.3676;0.373663
500,0.891806;0.9013;0.910794
550,0.773157;0.782;0.790843
600,0.739152;0.7478;0.756448
650,0.859678;0.869;0.878322
700,1.06344;1.0738;1.08416
750,1.34515;1.3568;1.36845
800,2.1469;2.1616;2.1763
850,1.39952;1.4114;1.42328
900,1.05;1.0603;1.0706
950,0.813431;0.8225;0.831569
1000,0.637863;0.6459;0.653937
1050,0.459571;0.4664;0.473229
1100,0.314839;0.3205;0.326161
1150,0.243911;0.2489;0.253889
1200,0.226293;0.2311;0.235907
1250,0.225699;0.2305;0.235301
1300,0.210759;0.2154;0.220041
1350,0.212243;0.2169;0.221557
1400,0.216398;0.2211;0.225802
1450,0.210264;0.2149;0.219536
1500,0.165778;0.1699;0.174022
1550,0.0815931;0.0845;0.0874069
1600,0.0395604;0.0416;0.0436396
1650,0.0335185;0.0354;0.0372815
1700,0.0306;0.0324;0.0342
1750,0.0232252;0.0248;0.0263748
1950,0.0202269;0.0217;0.0231731
2000,0;0;0
