Energy [keV],Absolute Efficiency [%]
100,0.0429763;0.0451;0.0472237
150,0.0717705;0.0745;0.0772295
200,0.103926;0.1072;0.110474
250,0.127874;0.1315;0.135126
300,0.285506;0.2909;0.296294
350,0.246782;0.2518;0.256818
400,0.240545;0.2455;0.250455
450,0.272034;0.2773;0.282566
500,0.484986;0.492;0.499014
550,0.463541;0.4704;0.477259
600,0.330897;0.3367;0.342503
650,0.235299;0.2402;0.245101
700,0.455799;0.4626;0.469401
750,0.542385;0.5498;0.557215
800,0.588379;0.5961;0.603821
850,0.622063;0.63;0.637937
900,0.64969;0.6578;0.66591
950,0.674636;0.6829;0.691164
1000,0.712807;0.7213;0.729793
1050,0.681693;0.69;0.698307
1100,0.750586;0.7593;0.768014
1150,0.742632;0.7513;0.759968
1200,0.811144;0.8202;0.829256
1250,0.79026;0.7992;0.80814
1300,0.802591;0.8116;0.820609
1350,0.765501;0.7743;0.783099
1400,0.642832;0.6509;0.658968
1450,0.527189;0.5345;0.541811
1500,0.469796;0.4767;0.483604
1550,0.406177;0.4126;0.419023
1600,0.370066;0.3762;0.382334
1650,0.344481;0.3504;0.356319
1700,0.295514;0.301;0.306486
1750,0.261437;0.2666;0.271763
1800,0.219168;0.2239;0.228632
1850,0.200077;0.2046;0.209123
1900,0.174473;0.1787;0.182927
1950,0.140501;0.1443;0.148099
2000,0;0;0
