Energy [keV],Absolute Efficiency [%]
100,0.0821828;0.0851;0.0880172
150,0.122155;0.1257;0.129245
200,0.140304;0.1441;0.147896
250,0.165482;0.1696;0.173718
300,0.434756;0.4414;0.448044
350,0.30463;0.3102;0.31577
400,0.397049;0.4034;0.409751
450,0.699586;0.708;0.716414
500,0.709228;0.7177;0.726172
550,0.698194;0.7066;0.715006
600,0.644621;0.6527;0.660779
650,0.613318;0.6212;0.629082
700,0.608151;0.616;0.623849
750,0.641938;0.65;0.658062
800,0.716485;0.725;0.733515
850,0.791553;0.8005;0.809447
900,0.848936;0.8582;0.867464
950,0.952092;0.9619;0.971708
1000,1.04891;1.0592;1.06949
1050,1.12833;1.139;1.14967
1100,1.27406;1.2854;1.29674
1150,1.61534;1.6281;1.64086
1200,2.01246;2.0267;2.04094
1250,1.72621;1.7394;1.75259
1300,1.32394;1.3355;1.34706
1350,1.16316;1.174;1.18484
1400,1.08722;1.0977;1.10818
1450,1.01308;1.0232;1.03332
1500,0.907623;0.9172;0.926777
1550,0.843864;0.8531;0.862336
1600,0.805077;0.8141;0.823123
1650,0.766694;0.7755;0.784306
1700,0.701773;0.7102;0.718627
1750,0.651578;0.6597;0.667822
1800,0.587386;0.5951;0.602814
1850,0.512193;0.5194;0.526607
1900,0.449942;0.4567;0.463458
1950,0.412229;0.4187;0.425171
2000,0;0;0
