Energy [keV],Absolute Efficiency [%]
100,0.00290839;0.0035;0.00409161
150,0.00513189;0.0059;0.00666811
200,0.00691682;0.0078;0.00868318
250,0.0181036;0.0195;0.0208964
300,0.0230316;0.0246;0.0261684
350,0.0152155;0.0165;0.0177845
400,0.0183929;0.0198;0.0212071
450,0.0160809;0.0174;0.0187191
500,0.0326426;0.0345;0.0363574
550,0.0644116;0.067;0.0695884
600,0.0422929;0.0444;0.0465071
650,0.0222573;0.0238;0.0253427
700,0.266884;0.2721;0.277316
750,0.0722614;0.075;0.0777386
800,0.0238063;0.0254;0.0269937
850,0.0193578;0.0208;0.0222422
900,0.0169472;0.0183;0.0196528
950,0.0178144;0.0192;0.0205856
1000,0.0169472;0.0183;0.0196528
1050,0.014447;0.0157;0.016953
1100,0.0112864;0.0124;0.0135136
1150,0.010237;0.0113;0.012363
1200,0.0126253;0.0138;0.0149747
1250,0.0133917;0.0146;0.0158083
1300,0.0100464;0.0111;0.0121536
1350,0.00401443;0.0047;0.00538557
2000,0;0;0
