Energy [keV],Absolute Efficiency [%]
100,0.0056;0.0064;0.0072
150,0.0093802;0.0104;0.0114198
200,0.0116686;0.0128;0.0139314
250,0.0222573;0.0238;0.0253427
300,0.0252599;0.0269;0.0285401
350,0.0305028;0.0323;0.0340972
400,0.0371226;0.0391;0.0410774
450,0.0345895;0.0365;0.0384105
500,0.0967393;0.0999;0.103061
550,0.0639212;0.0665;0.0690788
600,0.0758946;0.0787;0.0815054
650,0.0888685;0.0919;0.0949315
700,0.0983141;0.1015;0.104686
750,0.125211;0.1288;0.132389
800,0.143956;0.1478;0.151644
850,0.109244;0.1126;0.115956
900,0.0953615;0.0985;0.101638
950,0.0844437;0.0874;0.0903563
1000,0.0703963;0.0731;0.0758037
1050,0.0665694;0.0692;0.0718306
1100,0.0624505;0.065;0.0675495
1150,0.0524591;0.0548;0.0571409
1200,0.0411215;0.0432;0.0452785
1250,0.0351739;0.0371;0.0390261
1300,0.0305028;0.0323;0.0340972
1350,0.0214834;0.023;0.0245166
1400,0.0156962;0.017;0.0183038
1450,0.011;0.0121;0.0132
1500,0.011382;0.0125;0.013618
1550,0.0132958;0.0145;0.0157042
1600,0.00909501;0.0101;0.011105
1650,0.00290839;0.0035;0.00409161
1700,0.00182042;0.0023;0.00277958
1750,0.0012;0.0016;0.002
1900,0.00155279;0.002;0.00244721
2000,0;0;0
