Energy [keV],Absolute Efficiency [%]
100,0.060686;0.0632;0.065714
150,0.10885;0.1122;0.11555
200,0.112101;0.1155;0.118899
250,0.177635;0.1819;0.186165
300,0.29591;0.3014;0.30689
350,0.234705;0.2396;0.244495
400,0.291154;0.2966;0.302046
450,0.445078;0.4518;0.458522
500,0.660324;0.6685;0.676676
550,0.709029;0.7175;0.725971
600,0.733187;0.7418;0.750413
650,0.872907;0.8823;0.891693
700,0.947715;0.9575;0.967285
750,0.951694;0.9615;0.971306
800,0.926723;0.9364;0.946077
850,0.890712;0.9002;0.909688
900,0.835012;0.8442;0.853388
950,0.810746;0.8198;0.828854
1000,0.785388;0.7943;0.803212
1050,0.713503;0.722;0.730497
1100,0.648696;0.6568;0.664904
1150,0.585895;0.5936;0.601305
1200,0.483695;0.4907;0.497705
1250,0.430886;0.4375;0.444114
1300,0.371852;0.378;0.384148
1350,0.352909;0.3589;0.364891
1400,0.332186;0.338;0.343814
1450,0.325742;0.3315;0.337258
1500,0.276987;0.2823;0.287613
1550,0.257079;0.2622;0.267321
1600,0.214221;0.2189;0.223579
1650,0.196714;0.2012;0.205686
1700,0.170916;0.1751;0.179284
1750,0.149483;0.1534;0.157317
1800,0.137936;0.1417;0.145464
1850,0.119197;0.1227;0.126203
1900,0.110427;0.1138;0.117173
1950,0.10304;0.1063;0.10956
2000,0;0;0
