Energy [keV],Absolute Efficiency [%]
100,0.00466515;0.0054;0.00613485
150,0.00919005;0.0102;0.01121
200,0.0108091;0.0119;0.0129909
250,0.0211933;0.0227;0.0242067
300,0.0242907;0.0259;0.0275093
350,0.029628;0.0314;0.033172
400,0.021;0.0225;0.024
450,0.0264237;0.0281;0.0297763
500,0.0848369;0.0878;0.0907631
550,0.0660789;0.0687;0.0713211
600,0.0651962;0.0678;0.0704038
650,0.0968377;0.1;0.103162
700,0.110624;0.114;0.117376
750,0.140403;0.1442;0.147997
800,0.110919;0.1143;0.117681
850,0.0888685;0.0919;0.0949315
900,0.0807086;0.0836;0.0864914
950,0.0713779;0.0741;0.0768221
1000,0.0615682;0.0641;0.0666318
1050,0.0429763;0.0451;0.0472237
1100,0.0260357;0.0277;0.0293643
1150,0.0198405;0.0213;0.0227595
1200,0.0183929;0.0198;0.0212071
1250,0.0176216;0.019;0.0203784
1300,0.0158885;0.0172;0.0185115
1350,0.0115731;0.0127;0.0138269
1400,0.0116686;0.0128;0.0139314
1450,0.0150233;0.0163;0.0175767
1500,0.0170435;0.0184;0.0197565
1550,0.0094753;0.0105;0.0115247
1600,0.00392177;0.0046;0.00527823
1650,0.003;0.0036;0.0042
1700,0.00218038;0.0027;0.00321962
1750,0.0020901;0.0026;0.0031099
1800,0.00128769;0.0017;0.00211231
1850,0.0012;0.0016;0.002
1900,0.0011127;0.0015;0.0018873
1950,0.00164174;0.0021;0.00255826
2000,0;0;0
