Energy [keV],Absolute Efficiency [%]
100,0.0032755;0.0039;0.0045245
150,0.00569377;0.0065;0.00730623
200,0.0120511;0.0132;0.0143489
250,0.0171399;0.0185;0.0198601
300,0.0255508;0.0272;0.0288492
350,0.010523;0.0116;0.012677
400,0.0169472;0.0183;0.0196528
450,0.0206134;0.0221;0.0235866
500,0.0483506;0.0506;0.0528494
550,0.0753054;0.0781;0.0808946
600,0.0760911;0.0789;0.0817089
650,0.12176;0.1253;0.12884
700,0.093;0.0961;0.0992
750,0.097133;0.1003;0.103467
800,0.0531442;0.0555;0.0578558
850,0.0203235;0.0218;0.0232765
900,0.0189717;0.0204;0.0218283
950,0.0156962;0.017;0.0183038
1000,0.0154077;0.0167;0.0179923
1050,0.0109046;0.012;0.0130954
1100,0.0118598;0.013;0.0141402
1150,0.0100464;0.0111;0.0121536
1200,0.0122424;0.0134;0.0145576
1250,0.00833563;0.0093;0.0102644
1300,0.00957044;0.0106;0.0116296
1350,0.00475838;0.0055;0.00624162
1400,0.00227085;0.0028;0.00332915
1450,0.00164174;0.0021;0.00255826
2000,0;0;0
