Energy [keV],Absolute Efficiency [%]
100,0.00447889;0.0052;0.00592111
150,0.00691682;0.0078;0.00868318
200,0.0086202;0.0096;0.0105798
250,0.014447;0.0157;0.016953
300,0.0226444;0.0242;0.0257556
350,0.03839;0.0404;0.04241
400,0.0256477;0.0273;0.0289523
450,0.0343947;0.0363;0.0382053
500,0.0716724;0.0744;0.0771276
550,0.0522633;0.0546;0.0569367
600,0.0345895;0.0365;0.0384105
650,0.0283651;0.0301;0.0318349
700,0.0237094;0.0253;0.0268906
750,0.0209033;0.0224;0.0238967
800,0.0486439;0.0509;0.0531561
850,0.311469;0.3171;0.322731
900,0.206802;0.2114;0.215998
950,0.134877;0.1386;0.142323
1000,0.0839521;0.0869;0.0898479
1050,0.0612741;0.0638;0.0663259
1100,0.0466887;0.0489;0.0511113
1150,0.0275883;0.0293;0.0310117
1200,0.0259387;0.0276;0.0292613
1250,0.0232252;0.0248;0.0263748
1300,0.0191647;0.0206;0.0220353
1350,0.0173325;0.0187;0.0200675
1400,0.0184893;0.0199;0.0213107
1450,0.0216768;0.0232;0.0247232
1500,0.0136793;0.0149;0.0161207
1550,0.00985597;0.0109;0.011944
1600,0.00438586;0.0051;0.00581414
1650,0.00263431;0.0032;0.00376569
2000,0;0;0
