Energy [keV],Absolute Efficiency [%]
100,0.00635147;0.0072;0.00804853
150,0.0101417;0.0112;0.0122583
200,0.0122424;0.0134;0.0145576
250,0.0202269;0.0217;0.0231731
300,0.0239031;0.0255;0.0270969
350,0.0161771;0.0175;0.0188229
400,0.0174289;0.0188;0.0201711
450,0.0182964;0.0197;0.0211036
500,0.0322534;0.0341;0.0359466
550,0.102744;0.106;0.109256
600,0.0829691;0.0859;0.0888309
650,0.116043;0.1195;0.122957
700,0.084247;0.0872;0.090153
750,0.0230316;0.0246;0.0261684
800,0.0173325;0.0187;0.0200675
850,0.0149272;0.0162;0.0174728
900,0.0147351;0.016;0.0172649
950,0.0135834;0.0148;0.0160166
1000,0.0134876;0.0147;0.0159124
1050,0.0112864;0.0124;0.0135136
1100,0.0106183;0.0117;0.0127817
1150,0.00985597;0.0109;0.011944
1200,0.0101417;0.0112;0.0122583
1250,0.00767264;0.0086;0.00952736
1300,0.0057876;0.0066;0.0074124
1350,0.00364426;0.0043;0.00495574
1400,0.0019101;0.0024;0.0028899
1450,0.00290839;0.0035;0.00409161
1500,0.00137574;0.0018;0.00222426
1550,0.0012;0.0016;0.002
1600,0.00173096;0.0022;0.00266904
1650,0.00137574;0.0018;0.00222426
1700,0.00227085;0.0028;0.00332915
1750,0.0020901;0.0026;0.0031099
1800,0.00128769;0.0017;0.00211231
1850,0.00128769;0.0017;0.00211231
1900,0.00085359;0.0012;0.00154641
1950,0.0012;0.0016;0.002
2000,0;0;0
