Energy [keV],Absolute Efficiency [%]
100,0.00263431;0.0032;0.00376569
150,0.0100464;0.0111;0.0121536
200,0.0101417;0.0112;0.0122583
250,0.0199371;0.0214;0.0228629
300,0.0298224;0.0316;0.0333776
350,0.0226444;0.0242;0.0257556
400,0.0213867;0.0229;0.0244133
450,0.0234189;0.025;0.0265811
500,0.0573546;0.0598;0.0622454
550,0.0727523;0.0755;0.0782477
600,0.0683354;0.071;0.0736646
650,0.102744;0.106;0.109256
700,0.136061;0.1398;0.143539
750,0.0947711;0.0979;0.101029
800,0.0935903;0.0967;0.0998097
850,0.0802173;0.0831;0.0859827
900,0.0525569;0.0549;0.0572431
950,0.0285593;0.0303;0.0320407
1000,0.0183929;0.0198;0.0212071
1050,0.0178144;0.0192;0.0205856
1100,0.0178144;0.0192;0.0205856
1150,0.0159847;0.0173;0.0186153
1200,0.0128168;0.014;0.0151832
1250,0.014639;0.0159;0.017161
1300,0.0106183;0.0117;0.0127817
1350,0.00995119;0.011;0.0120488
1400,0.0124338;0.0136;0.0147662
1450,0.00738896;0.0083;0.00921104
1500,0.00382918;0.0045;0.00517082
2000,0;0;0
