Energy [keV],Absolute Efficiency [%]
100,0.0020901;0.0026;0.0031099
150,0.0056;0.0064;0.0072
200,0.0086202;0.0096;0.0105798
250,0.0151194;0.0164;0.0176806
300,0.0272971;0.029;0.0307029
350,0.0131042;0.0143;0.0154958
400,0.0151194;0.0164;0.0176806
450,0.0213867;0.0229;0.0244133
500,0.0434646;0.0456;0.0477354
550,0.0852302;0.0882;0.0911698
600,0.0748143;0.0776;0.0803857
650,0.121366;0.1249;0.128434
700,0.0912292;0.0943;0.0973708
750,0.0973298;0.1005;0.10367
800,0.0488395;0.0511;0.0533605
850,0.0215801;0.0231;0.0246199
900,0.0188752;0.0203;0.0217248
950,0.0153116;0.0166;0.0178884
1000,0.0156;0.0169;0.0182
1050,0.0137753;0.015;0.0162247
1100,0.0124338;0.0136;0.0147662
1150,0.0132958;0.0145;0.0157042
1200,0.011;0.0121;0.0132
1250,0.00871511;0.0097;0.0106849
1300,0.0086202;0.0096;0.0105798
1350,0.00588146;0.0067;0.00751854
1400,0.00182042;0.0023;0.00277958
1450,0.00146411;0.0019;0.00233589
2000,0;0;0
