Energy [keV],Absolute Efficiency [%]
100,0.0380975;0.0401;0.0421025
150,0.077761;0.0806;0.083439
200,0.114565;0.118;0.121435
250,0.205714;0.2103;0.214886
300,0.307306;0.3129;0.318494
350,0.157383;0.1614;0.165417
400,0.195726;0.2002;0.204674
450,0.249257;0.2543;0.259343
500,0.513087;0.5203;0.527513
550,0.893398;0.9029;0.912402
600,0.798315;0.8073;0.816285
650,1.06802;1.0784;1.08878
700,1.85473;1.8684;1.88207
750,1.13271;1.1434;1.15409
800,0.527686;0.535;0.542314
850,0.262031;0.2672;0.272369
900,0.221939;0.2267;0.231461
950,0.214914;0.2196;0.224286
1000,0.196714;0.2012;0.205686
1050,0.171113;0.1753;0.179487
1100,0.163802;0.1679;0.171998
1150,0.147114;0.151;0.154886
1200,0.143561;0.1474;0.151239
1250,0.134088;0.1378;0.141512
1300,0.127479;0.1311;0.134721
1350,0.073145;0.0759;0.078655
1400,0.0373176;0.0393;0.0412824
1450,0.023322;0.0249;0.026478
2000,0;0;0
