Energy [keV],Absolute Efficiency [%]
100,0.00569377;0.0065;0.00730623
150,0.00710557;0.008;0.00889443
200,0.0108091;0.0119;0.0129909
250,0.0175252;0.0189;0.0202748
300,0.0328372;0.0347;0.0365628
350,0.0380975;0.0401;0.0421025
400,0.0180072;0.0194;0.0207928
450,0.0327399;0.0346;0.0364601
500,0.059608;0.0621;0.064592
550,0.0611761;0.0637;0.0662239
600,0.042781;0.0449;0.047019
650,0.0265207;0.0282;0.0298793
700,0.0255508;0.0272;0.0288492
750,0.0463955;0.0486;0.0508045
800,0.316623;0.3223;0.327977
850,0.153433;0.1574;0.161367
900,0.0908357;0.0939;0.0969643
950,0.049524;0.0518;0.054076
1000,0.0318642;0.0337;0.0355358
1050,0.0217736;0.0233;0.0248264
1100,0.0201303;0.0216;0.0230697
1150,0.0181036;0.0195;0.0208964
1200,0.0162734;0.0176;0.0189266
1250,0.0164658;0.0178;0.0191342
1300,0.0181036;0.0195;0.0208964
1350,0.0222573;0.0238;0.0253427
1400,0.0282679;0.03;0.0317321
1450,0.00928511;0.0103;0.0113149
1500,0.00569377;0.0065;0.00730623
1550,0.00345969;0.0041;0.00474031
2000,0;0;0
