Energy [keV],Absolute Efficiency [%]
100,0.0057876;0.0066;0.0074124
150,0.0094753;0.0105;0.0115247
200,0.0134876;0.0147;0.0159124
250,0.0215801;0.0231;0.0246199
300,0.0221605;0.0237;0.0252395
350,0.0149272;0.0162;0.0174728
400,0.0181036;0.0195;0.0208964
450,0.0180072;0.0194;0.0207928
500,0.0366353;0.0386;0.0405647
550,0.102941;0.1062;0.109459
600,0.0681392;0.0708;0.0734608
650,0.111806;0.1152;0.118594
700,0.0793329;0.0822;0.0850671
750,0.0217736;0.0233;0.0248264
800,0.0192613;0.0207;0.0221387
850,0.0159847;0.0173;0.0186153
900,0.014351;0.0156;0.016849
950,0.0134876;0.0147;0.0159124
1000,0.0132;0.0144;0.0156
1050,0.0121467;0.0133;0.0144533
1100,0.0119554;0.0131;0.0142446
1150,0.009;0.01;0.011
1200,0.00909501;0.0101;0.011105
1250,0.00738896;0.0083;0.00921104
1300,0.00588146;0.0067;0.00751854
1350,0.00429289;0.005;0.00570711
1400,0.00245228;0.003;0.00354772
1450,0.00137574;0.0018;0.00222426
1500,0.00263431;0.0032;0.00376569
1550,0.00164174;0.0021;0.00255826
1600,0.00236148;0.0029;0.00343852
1650,0.00155279;0.002;0.00244721
1700,0.00146411;0.0019;0.00233589
1750,0.0012;0.0016;0.002
1800,0.0012;0.0016;0.002
1850,0.00128769;0.0017;0.00211231
1900,0.002;0.0025;0.003
1950,0.00085359;0.0012;0.00154641
2000,0;0;0
