Energy [keV],Absolute Efficiency [%]
100,0.00531898;0.0061;0.00688102
150,0.0101417;0.0112;0.0122583
200,0.0116686;0.0128;0.0139314
250,0.0176216;0.019;0.0203784
300,0.0272;0.0289;0.0306
350,0.0235157;0.0251;0.0266843
400,0.0448321;0.047;0.0491679
450,0.0513827;0.0537;0.0560173
500,0.0729486;0.0757;0.0784514
550,0.0664713;0.0691;0.0717287
600,0.0755018;0.0783;0.0810982
650,0.078154;0.081;0.083846
700,0.0962472;0.0994;0.102553
750,0.117719;0.1212;0.124681
800,0.130438;0.1341;0.137762
850,0.14978;0.1537;0.15762
900,0.126296;0.1299;0.133504
950,0.105698;0.109;0.112302
1000,0.0900488;0.0931;0.0961512
1050,0.0792347;0.0821;0.0849653
1100,0.0686298;0.0713;0.0739702
1150,0.0615682;0.0641;0.0666318
1200,0.0547104;0.0571;0.0594896
1250,0.0480572;0.0503;0.0525428
1300,0.0473729;0.0496;0.0518271
1350,0.042781;0.0449;0.047019
1400,0.0434646;0.0456;0.0477354
1450,0.0366353;0.0386;0.0405647
1500,0.0330318;0.0349;0.0367682
1550,0.0248721;0.0265;0.0281279
1600,0.0236125;0.0252;0.0267875
1650,0.0155039;0.0168;0.0180961
1700,0.0072;0.0081;0.009
1750,0.00410718;0.0048;0.00549282
1800,0.002;0.0025;0.003
1950,0.00155279;0.002;0.00244721
2000,0;0;0
