Energy [keV],Absolute Efficiency [%]
100,0.0057876;0.0066;0.0074124
150,0.00966559;0.0107;0.0117344
200,0.00928511;0.0103;0.0113149
250,0.0103323;0.0114;0.0124677
300,0.0359532;0.0379;0.0398468
350,0.0237094;0.0253;0.0268906
400,0.0340053;0.0359;0.0377947
450,0.0340053;0.0359;0.0377947
500,0.0575505;0.06;0.0624495
550,0.0522633;0.0546;0.0569367
600,0.0328372;0.0347;0.0365628
650,0.0245814;0.0262;0.0278186
700,0.0195509;0.021;0.0224491
750,0.0155039;0.0168;0.0180961
800,0.0137753;0.015;0.0162247
850,0.0117642;0.0129;0.0140358
900,0.0093802;0.0104;0.0114198
950,0.009;0.01;0.011
1000,0.0421952;0.0443;0.0464048
1050,0.184554;0.1889;0.193246
1100,0.324652;0.3304;0.336148
1150,0.239654;0.2446;0.249546
1200,0.166074;0.1702;0.174326
1250,0.145732;0.1496;0.153468
1300,0.126394;0.13;0.133606
1350,0.115156;0.1186;0.122044
1400,0.102843;0.1061;0.109357
1450,0.0918194;0.0949;0.0979806
1500,0.0869017;0.0899;0.0928983
1550,0.0830674;0.086;0.0889326
1600,0.0775645;0.0804;0.0832355
1650,0.0698074;0.0725;0.0751926
1700,0.059804;0.0623;0.064796
1750,0.0527527;0.0551;0.0574473
1800,0.0384875;0.0405;0.0425125
1850,0.0311834;0.033;0.0348166
1900,0.022354;0.0239;0.025446
1950,0.0214834;0.023;0.0245166
2000,0;0;0
