Energy [keV],Absolute Efficiency [%]
100,0.0745197;0.0773;0.0800803
150,0.127578;0.1312;0.134822
200,0.141784;0.1456;0.149416
250,0.188508;0.1929;0.197292
300,0.307604;0.3132;0.318796
350,0.315235;0.3209;0.326565
400,0.502461;0.5096;0.516739
450,0.543478;0.5509;0.558322
500,0.920257;0.9299;0.939543
550,0.774847;0.7837;0.792553
600,0.784791;0.7937;0.802609
650,0.794238;0.8032;0.812162
700,0.895288;0.9048;0.914312
750,1.00781;1.0179;1.02799
800,1.14087;1.1516;1.16233
850,1.33908;1.3507;1.36232
900,2.01197;2.0262;2.04043
950,1.98516;1.9993;2.01344
1000,1.40968;1.4216;1.43352
1050,1.12823;1.1389;1.14957
1100,0.989701;0.9997;1.0097
1150,0.866442;0.8758;0.885158
1200,0.699983;0.7084;0.716817
1250,0.614411;0.6223;0.630189
1300,0.553609;0.5611;0.568591
1350,0.495511;0.5026;0.509689
1400,0.470093;0.477;0.483907
1450,0.419473;0.426;0.432527
1500,0.359058;0.3651;0.371142
1550,0.29591;0.3014;0.30689
1600,0.241535;0.2465;0.251465
1650,0.150273;0.1542;0.158127
1700,0.0778592;0.0807;0.0835408
1750,0.0450274;0.0472;0.0493726
1800,0.0279766;0.0297;0.0314234
1900,0.0199371;0.0214;0.0228629
1950,0.0192613;0.0207;0.0221387
2000,0;0;0
