Energy [keV],Absolute Efficiency [%]
100,0.00254322;0.0031;0.00365678
150,0.00429289;0.005;0.00570711
200,0.00928511;0.0103;0.0113149
250,0.0172362;0.0186;0.0199638
300,0.0216768;0.0232;0.0247232
350,0.0132;0.0144;0.0156
400,0.014543;0.0158;0.017057
450,0.0183929;0.0198;0.0212071
500,0.0323507;0.0342;0.0360493
550,0.0630388;0.0656;0.0681612
600,0.0396579;0.0417;0.0437421
650,0.023322;0.0249;0.026478
700,0.27352;0.2788;0.28408
750,0.0784487;0.0813;0.0841513
800,0.024;0.0256;0.0272
850,0.021;0.0225;0.024
900,0.0159847;0.0173;0.0186153
950,0.0188752;0.0203;0.0217248
1000,0.014255;0.0155;0.016745
1050,0.0124338;0.0136;0.0147662
1100,0.0104276;0.0115;0.0125724
1150,0.0117642;0.0129;0.0140358
1200,0.0106183;0.0117;0.0127817
1250,0.014447;0.0157;0.016953
1300,0.0100464;0.0111;0.0121536
1350,0.00401443;0.0047;0.00538557
2000,0;0;0
