Energy [keV],Absolute Efficiency [%]
100,0.0072;0.0081;0.009
150,0.0114775;0.0126;0.0137225
200,0.00995119;0.011;0.0120488
250,0.0179108;0.0193;0.0206892
300,0.024969;0.0266;0.028231
350,0.022838;0.0244;0.025962
400,0.0411215;0.0432;0.0452785
450,0.049524;0.0518;0.054076
500,0.0786452;0.0815;0.0843548
550,0.0730468;0.0758;0.0785532
600,0.0772698;0.0801;0.0829302
650,0.0788417;0.0817;0.0845583
700,0.0957552;0.0989;0.102045
750,0.110131;0.1135;0.116869
800,0.130339;0.134;0.137661
850,0.150866;0.1548;0.158734
900,0.126888;0.1305;0.134112
950,0.0960504;0.0992;0.10235
1000,0.0928032;0.0959;0.0989968
1050,0.076484;0.0793;0.082116
1100,0.0742251;0.077;0.0797749
1150,0.0630388;0.0656;0.0681612
1200,0.0557875;0.0582;0.0606125
1250,0.0482528;0.0505;0.0527472
1300,0.0457114;0.0479;0.0500886
1350,0.0456137;0.0478;0.0499863
1400,0.0440506;0.0462;0.0483494
1450,0.0420976;0.0442;0.0463024
1500,0.0372201;0.0392;0.0411799
1550,0.0315724;0.0334;0.0352276
1600,0.0217736;0.0233;0.0248264
1650,0.0160809;0.0174;0.0187191
1700,0.00966559;0.0107;0.0117344
1750,0.00513189;0.0059;0.00666811
1800,0.002;0.0025;0.003
1850,0.00155279;0.002;0.00244721
1900,0.00182042;0.0023;0.00277958
1950,0.0012;0.0016;0.002
2000,0;0;0
