Energy [keV],Absolute Efficiency [%]
100,0.00616334;0.007;0.00783666
150,0.00909501;0.0101;0.011105
200,0.0121467;0.0133;0.0144533
250,0.024;0.0256;0.0272
300,0.0264237;0.0281;0.0297763
350,0.0283651;0.0301;0.0318349
400,0.0372201;0.0392;0.0411799
450,0.0325453;0.0344;0.0362547
500,0.0977235;0.1009;0.104076
550,0.0673542;0.07;0.0726458
600,0.0719669;0.0747;0.0774331
650,0.0882784;0.0913;0.0943216
700,0.102055;0.1053;0.108545
750,0.128367;0.132;0.135633
800,0.141291;0.1451;0.148909
850,0.109343;0.1127;0.116057
900,0.0890652;0.0921;0.0951348
950,0.0843453;0.0873;0.0902547
1000,0.0728505;0.0756;0.0783495
1050,0.0642154;0.0668;0.0693846
1100,0.0586282;0.0611;0.0635718
1150,0.0537315;0.0561;0.0584685
1200,0.0384875;0.0405;0.0425125
1250,0.0361481;0.0381;0.0400519
1300,0.029045;0.0308;0.032555
1350,0.0234189;0.025;0.0265811
1400,0.0151194;0.0164;0.0176806
1450,0.0106183;0.0117;0.0127817
1500,0.00928511;0.0103;0.0113149
1550,0.0156;0.0169;0.0182
1600,0.00814606;0.0091;0.0100539
1650,0.00227085;0.0028;0.00332915
1700,0.00164174;0.0021;0.00255826
2000,0;0;0
