Energy [keV],Absolute Efficiency [%]
100,0.0540251;0.0564;0.0587749
150,0.0893603;0.0924;0.0954397
200,0.102055;0.1053;0.108545
250,0.14741;0.1513;0.15519
300,0.289965;0.2954;0.300835
350,0.240941;0.2459;0.250859
400,0.26728;0.2725;0.27772
450,0.292541;0.298;0.303459
500,0.514775;0.522;0.529225
550,0.536227;0.5436;0.550973
600,0.36848;0.3746;0.38072
650,0.381473;0.3877;0.393927
700,0.512988;0.5202;0.527412
750,0.562947;0.5705;0.578053
800,0.617094;0.625;0.632906
850,0.649292;0.6574;0.665508
900,0.664896;0.6731;0.681304
950,0.686067;0.6944;0.702733
1000,0.718175;0.7267;0.735225
1050,0.689148;0.6975;0.705852
1100,0.764904;0.7737;0.782496
1150,0.748299;0.757;0.765701
1200,0.826459;0.8356;0.844741
1250,0.810945;0.82;0.829055
1300,0.829144;0.8383;0.847456
1350,0.772461;0.7813;0.790139
1400,0.626932;0.6349;0.642868
1450,0.546855;0.5543;0.561745
1500,0.468406;0.4753;0.482194
1550,0.419275;0.4258;0.432325
1600,0.385441;0.3917;0.397959
1650,0.334764;0.3406;0.346436
1700,0.297694;0.3032;0.308706
1750,0.268468;0.2737;0.278932
1800,0.233616;0.2385;0.243384
1850,0.195429;0.1999;0.204371
1900,0.170323;0.1745;0.178677
1950,0.152939;0.1569;0.160861
2000,0;0;0
