Energy [keV],Absolute Efficiency [%]
100,0.00272554;0.0033;0.00387446
150,0.00786192;0.0088;0.00973808
200,0.00757805;0.0085;0.00942195
250,0.0169472;0.0183;0.0196528
300,0.0235157;0.0251;0.0266843
350,0.0115731;0.0127;0.0138269
400,0.0160809;0.0174;0.0187191
450,0.02071;0.0222;0.02369
500,0.0439529;0.0461;0.0482471
550,0.0726541;0.0754;0.0781459
600,0.0749125;0.0777;0.0804875
650,0.109441;0.1128;0.116159
700,0.0909341;0.094;0.0970659
750,0.0919178;0.095;0.0980822
800,0.0519698;0.0543;0.0566302
850,0.0208067;0.0223;0.0237933
900,0.0183929;0.0198;0.0212071
950,0.0182964;0.0197;0.0211036
1000,0.0149272;0.0162;0.0174728
1050,0.014351;0.0156;0.016849
1100,0.0126253;0.0138;0.0149747
1150,0.0120511;0.0132;0.0143489
1200,0.0121467;0.0133;0.0144533
1250,0.00881005;0.0098;0.0107899
1300,0.0124338;0.0136;0.0147662
1350,0.00550627;0.0063;0.00709373
1400,0.00401443;0.0047;0.00538557
1450,0.0020901;0.0026;0.0031099
2000,0;0;0
