Energy [keV],Absolute Efficiency [%]
100,0.00767264;0.0086;0.00952736
150,0.00985597;0.0109;0.011944
200,0.0106183;0.0117;0.0127817
250,0.0214834;0.023;0.0245166
300,0.0242907;0.0259;0.0275093
350,0.0256477;0.0273;0.0289523
400,0.0373176;0.0393;0.0412824
450,0.0323507;0.0342;0.0360493
500,0.102449;0.1057;0.108951
550,0.0680411;0.0707;0.0733589
600,0.0751089;0.0779;0.0806911
650,0.090639;0.0937;0.096761
700,0.108358;0.1117;0.115042
750,0.127874;0.1315;0.135126
800,0.145337;0.1492;0.153063
850,0.118901;0.1224;0.125899
900,0.0963456;0.0995;0.102654
950,0.0840504;0.087;0.0899496
1000,0.0753054;0.0781;0.0808946
1050,0.0708871;0.0736;0.0763129
1100,0.0625485;0.0651;0.0676515
1150,0.0502087;0.0525;0.0547913
1200,0.0447344;0.0469;0.0490656
1250,0.0357584;0.0377;0.0396416
1300,0.029628;0.0314;0.033172
1350,0.0230316;0.0246;0.0261684
1400,0.0158885;0.0172;0.0185115
1450,0.0116686;0.0128;0.0139314
1500,0.0116686;0.0128;0.0139314
1550,0.014255;0.0155;0.016745
1600,0.0079566;0.0089;0.0098434
1650,0.00364426;0.0043;0.00495574
1700,0.00272554;0.0033;0.00387446
1750,0.0012;0.0016;0.002
1800,0.002;0.0025;0.003
1850,0.0012;0.0016;0.002
1950,0.00173096;0.0022;0.00266904
2000,0;0;0
