Energy [keV],Absolute Efficiency [%]
100,0.0054126;0.0062;0.0069874
150,0.011;0.0121;0.0132
200,0.0094753;0.0105;0.0115247
250,0.0194543;0.0209;0.0223457
300,0.0261327;0.0278;0.0294673
350,0.0295308;0.0313;0.0330692
400,0.0247752;0.0264;0.0280248
450,0.0269088;0.0286;0.0302912
500,0.0756982;0.0785;0.0813018
550,0.0624505;0.065;0.0675495
600,0.0698074;0.0725;0.0751926
650,0.0945743;0.0977;0.100826
700,0.116832;0.1203;0.123768
750,0.136258;0.14;0.143742
800,0.107964;0.1113;0.114636
850,0.0968377;0.1;0.103162
900,0.0804138;0.0833;0.0861862
950,0.0706908;0.0734;0.0761092
1000,0.0576485;0.0601;0.0625515
1050,0.0434646;0.0456;0.0477354
1100,0.0284622;0.0302;0.0319378
1150,0.0213867;0.0229;0.0244133
1200,0.017718;0.0191;0.020482
1250,0.0178144;0.0192;0.0205856
1300,0.0153116;0.0166;0.0178884
1350,0.0128168;0.014;0.0151832
1400,0.0109046;0.012;0.0130954
1450,0.0163696;0.0177;0.0190304
1500,0.0170435;0.0184;0.0197565
1550,0.00814606;0.0091;0.0100539
1600,0.00429289;0.005;0.00570711
1650,0.00263431;0.0032;0.00376569
1700,0.00227085;0.0028;0.00332915
1750,0.0019101;0.0024;0.0028899
1800,0.00164174;0.0021;0.00255826
1850,0.00146411;0.0019;0.00233589
2000,0;0;0
